date | value
2011-01-03 | 3
2011-01-03 | 2
2011-01-03 | 1
2011-01-03 | 1.2
2011-01-09 | 1
2012-01-11 | -1
2001-42-42
2012-01-11 | 1
2012-01-11 | 2147483648
2015-05-26 | 67
2000-01-03 | 3
0000-00-00 | 12
2011--01-03 | 3
2011-01-03 | hello
hihi-hi-hi | 12
2012-05-6i | 12
2011-02-29 | 3
2012-02-29 | 3
2000-02-29 | 3
2011-02-30 | 3
2011-04-31 | 3
2011-00-03 | 3
2011-01-00 | 3
2011-13-03 | 3
2011-01-32 | 3
2011-1-3 | 3
2011-001-03 | 3
2011-01-03 | 
2011-01-03|3
 2011-01-03 | 3
2011-01-03 | 3 
2011-01-03 | +3
2011-01-03 | -0
2011-01-03 | 1000
2011-01-03 | 1001
2011-01-03 | 1e3
2011-01-03 | .5
2011-01-03 | 3.
2011-01-03 | 3 | 4
2009-01-01 | 3
2030-01-01 | 3
2011,01,03 | 3
2011/01/03 | 3
2011.01.03 | 3
03-01-2011 | 3
20110103 | 3
2011 - 01 - 03 | 3
2011-01-03T00:00:00 | 3
-2011-01-03 | 3
20111-01-03 | 3
2011-01-03	3

2011-01-03 | 3
-2011-01-03 | 3
2009-01-01 | 3
9999-01-01 | 3
